Player,Opponent,DVP_Rating,Avg_Points,Games_Played,Consistency,Position
Josh Worrell,STK,1.8,56.0,2,0.0,Defender
Josh Worrell,SYD,3.5,62.0,3,0.36,Defender
Josh Worrell,WCE,6.3,63.2,5,0.48,Defender
Daniel Curtin,MEL,1.0,50.0,1,0.0,Midfielder
Daniel Curtin,CAR,1.0,53.0,1,0.0,Midfielder
Daniel Curtin,COL,4.5,67.7,3,0.75,Midfielder
Daniel Curtin,ESS,1.2,73.0,1,0.0,Midfielder
Daniel Curtin,FRE,1.0,39.0,1,0.0,Midfielder
Daniel Curtin,GCS,2.9,73.0,2,0.45,Midfielder
Daniel Curtin,GEE,1.0,14.5,2,0.0,Midfielder
Daniel Curtin,GWS,1.0,34.0,1,0.0,Midfielder
Daniel Curtin,HAW,4.2,61.5,4,0.15,Midfielder
Daniel Curtin,RIC,1.6,118.0,1,0.0,Midfielder
Daniel Curtin,STK,1.0,30.0,1,0.0,Midfielder
Daniel Curtin,SYD,2.6,64.0,2,0.53,Midfielder
Daniel Curtin,WCE,2.8,62.5,2,0.76,Midfielder
Max Michalanney,MEL,2.5,57.0,2,0.72,Defender
Max Michalanney,CAR,3.7,71.7,3,0.13,Defender
Max Michalanney,COL,4.8,48.2,5,0.51,Defender
Max Michalanney,ESS,3.8,52.0,4,0.28,Defender
Max Michalanney,FRE,4.9,70.3,3,0.91,Defender
Max Michalanney,GCS,6.1,64.0,5,0.39,Defender
Max Michalanney,GEE,5.0,59.8,4,0.61,Defender
Max Michalanney,GWS,4.6,52.3,4,0.77,Defender
Max Michalanney,HAW,6.9,66.4,5,0.6,Defender
Max Michalanney,RIC,3.9,72.0,3,0.28,Defender
Max Michalanney,STK,2.7,42.3,3,0.61,Defender
Max Michalanney,SYD,4.9,54.0,4,0.83,Defender
Max Michalanney,WCE,4.1,55.3,4,0.3,Defender
Mitchell Hinge,MEL,6.0,77.3,4,0.41,Defender
Mitchell Hinge,CAR,6.5,75.3,4,0.69,Defender
Mitchell Hinge,COL,8.4,73.1,8,0.39,Defender
Mitchell Hinge,ESS,6.9,74.6,5,0.32,Defender
Mitchell Hinge,FRE,1.1,68.0,1,0.0,Defender
Mitchell Hinge,GCS,5.6,70.6,5,0.0,Defender
Mitchell Hinge,GEE,8.3,67.8,6,0.54,Defender
Mitchell Hinge,GWS,6.8,83.5,4,0.53,Defender
Mitchell Hinge,HAW,7.3,66.3,6,0.29,Defender
Mitchell Hinge,RIC,4.5,78.3,3,0.37,Defender
Mitchell Hinge,STK,4.4,72.7,3,0.5,Defender
Mitchell Hinge,SYD,1.0,54.0,1,0.0,Defender
Mitchell Hinge,WCE,9.7,74.6,7,0.71,Defender
Mitchell Hinge,ADE,1.0,41.0,1,0.0,Defender
Taylor Walker,MEL,7.3,58.9,8,0.59,Forward
Taylor Walker,CAR,10.0,82.0,7,0.59,Forward
Taylor Walker,COL,7.5,69.2,9,0.25,Forward
Taylor Walker,ESS,9.2,69.4,7,0.76,Forward
Taylor Walker,FRE,6.2,47.6,9,0.73,Forward
Taylor Walker,GCS,9.0,77.2,9,0.43,Forward
Taylor Walker,GEE,6.4,55.8,9,0.4,Forward
Taylor Walker,GWS,6.3,53.1,9,0.46,Forward
Taylor Walker,HAW,6.2,63.5,10,0.04,Forward
Taylor Walker,RIC,10.0,75.6,9,0.77,Forward
Taylor Walker,STK,6.4,64.2,10,0.09,Forward
Taylor Walker,SYD,8.5,68.1,9,0.59,Forward
Taylor Walker,WCE,9.7,100.5,6,0.03,Forward
Riley Thilthorpe,MEL,5.4,52.6,5,0.56,Forward
Riley Thilthorpe,CAR,3.2,44.7,3,0.98,Forward
Riley Thilthorpe,COL,9.1,72.4,7,0.63,Forward
Riley Thilthorpe,ESS,3.9,53.5,4,0.3,Forward
Riley Thilthorpe,FRE,4.3,70.7,3,0.56,Forward
Riley Thilthorpe,GCS,6.2,67.2,5,0.31,Forward
Riley Thilthorpe,GEE,4.2,60.8,4,0.15,Forward
Riley Thilthorpe,GWS,3.6,55.3,3,0.73,Forward
Riley Thilthorpe,HAW,8.6,70.6,7,0.53,Forward
Riley Thilthorpe,RIC,3.4,67.3,3,0.11,Forward
Riley Thilthorpe,STK,5.5,57.2,5,0.39,Forward
Riley Thilthorpe,SYD,4.0,62.3,4,0.0,Forward
Riley Thilthorpe,WCE,6.2,62.8,6,0.06,Forward
Isaac Cumming,MEL,4.3,67.8,4,0.0,Midfielder
Isaac Cumming,CAR,10.0,82.4,7,0.55,Midfielder
Isaac Cumming,COL,5.5,91.0,3,0.52,Midfielder
Isaac Cumming,ESS,9.7,83.6,5,0.89,Midfielder
Isaac Cumming,FRE,6.2,90.7,3,0.86,Midfielder
Isaac Cumming,GCS,7.1,64.0,6,0.33,Midfielder
Isaac Cumming,GEE,5.0,78.8,4,0.0,Midfielder
Isaac Cumming,GWS,1.0,49.0,1,0.0,Midfielder
Isaac Cumming,HAW,7.1,91.0,4,0.45,Midfielder
Isaac Cumming,RIC,6.5,84.8,4,0.41,Midfielder
Isaac Cumming,STK,5.7,59.0,5,0.4,Midfielder
Isaac Cumming,SYD,8.3,63.5,6,0.73,Midfielder
Isaac Cumming,WCE,6.0,64.3,4,0.91,Midfielder
Isaac Cumming,ADE,8.1,72.7,6,0.33,Midfielder
Isaac Cumming,BRL,9.2,90.6,5,0.54,Midfielder
Isaac Cumming,NTH,4.4,69.3,4,0.0,Midfielder
Isaac Cumming,PTA,5.7,65.8,4,0.71,Midfielder
Isaac Cumming,WBD,8.3,81.2,5,0.56,Midfielder
Zac Taylor,MEL,1.0,28.0,1,0.0,Forward
Zac Taylor,CAR,1.1,66.0,1,0.0,Forward
Zac Taylor,COL,2.3,38.7,3,0.45,Forward
Zac Taylor,ESS,1.2,78.0,1,0.0,Forward
Zac Taylor,FRE,1.0,49.0,1,0.0,Forward
Zac Taylor,GCS,1.0,54.0,1,0.0,Forward
Zac Taylor,GEE,2.3,54.5,2,0.65,Forward
Zac Taylor,GWS,1.0,23.5,2,0.0,Forward
Zac Taylor,HAW,2.4,44.7,3,0.22,Forward
Zac Taylor,STK,1.4,86.0,1,0.0,Forward
Zac Taylor,SYD,1.0,65.0,1,0.0,Forward
Zac Taylor,WCE,1.7,52.5,2,0.0,Forward
Josh Rachele,MEL,2.2,39.7,3,0.32,Forward
Josh Rachele,CAR,6.2,74.5,4,0.6,Forward
Josh Rachele,COL,7.2,67.0,5,0.68,Forward
Josh Rachele,ESS,8.2,79.8,5,0.57,Forward
Josh Rachele,FRE,5.3,71.0,4,0.35,Forward
Josh Rachele,GCS,3.6,51.5,4,0.19,Forward
Josh Rachele,GEE,3.3,66.0,3,0.08,Forward
Josh Rachele,GWS,5.0,70.0,4,0.23,Forward
Josh Rachele,HAW,4.7,55.4,5,0.12,Forward
Josh Rachele,RIC,5.0,63.0,4,0.47,Forward
Josh Rachele,STK,5.1,66.5,4,0.42,Forward
Josh Rachele,SYD,4.4,63.3,3,0.93,Forward
Josh Rachele,WCE,6.5,82.8,4,0.46,Forward
Jordon Butts,MEL,4.2,38.7,6,0.28,Defender
Jordon Butts,CAR,3.8,33.1,7,0.41,Defender
Jordon Butts,COL,4.4,42.1,7,0.16,Defender
Jordon Butts,ESS,3.2,45.3,3,0.91,Defender
Jordon Butts,FRE,2.2,45.3,3,0.0,Defender
Jordon Butts,GCS,2.2,34.8,4,0.0,Defender
Jordon Butts,GEE,2.8,35.2,5,0.0,Defender
Jordon Butts,GWS,3.2,35.8,5,0.21,Defender
Jordon Butts,HAW,5.1,37.0,6,0.87,Defender
Jordon Butts,RIC,3.3,47.0,4,0.2,Defender
Jordon Butts,STK,3.3,50.3,3,0.73,Defender
Jordon Butts,SYD,2.8,38.5,4,0.28,Defender
Jordon Butts,WCE,4.9,41.2,6,0.48,Defender
Lachlan Murphy,MEL,3.7,38.1,7,0.0,Forward
Lachlan Murphy,CAR,5.1,61.3,4,0.61,Forward
Lachlan Murphy,COL,4.0,44.8,5,0.25,Forward
Lachlan Murphy,ESS,5.5,47.1,7,0.43,Forward
Lachlan Murphy,FRE,4.1,42.2,6,0.0,Forward
Lachlan Murphy,GCS,6.6,59.2,9,0.32,Forward
Lachlan Murphy,GEE,7.2,57.4,9,0.61,Forward
Lachlan Murphy,GWS,7.1,51.3,8,0.9,Forward
Lachlan Murphy,HAW,6.7,52.4,7,0.67,Forward
Lachlan Murphy,RIC,4.5,38.7,6,0.42,Forward
Lachlan Murphy,STK,7.4,64.8,6,0.39,Forward
Lachlan Murphy,SYD,7.5,57.9,7,0.69,Forward
Lachlan Murphy,WCE,9.0,69.2,6,0.7,Forward
Brad Crouch,MEL,4.5,105.5,2,0.82,Unknown
Brad Crouch,CAR,8.2,99.5,4,0.59,Unknown
Brad Crouch,ESS,5.7,91.7,3,0.6,Unknown
Brad Crouch,FRE,9.1,98.8,4,0.87,Unknown
Brad Crouch,GCS,8.7,105.8,4,0.71,Unknown
Brad Crouch,GEE,10.0,103.7,6,0.48,Unknown
Brad Crouch,GWS,5.3,78.7,3,0.82,Unknown
Brad Crouch,HAW,10.0,119.6,5,0.88,Unknown
Brad Crouch,RIC,9.9,99.0,5,0.51,Unknown
Brad Crouch,STK,6.0,93.0,4,0.0,Unknown
Brad Crouch,SYD,8.8,105.3,4,0.74,Unknown
Brad Crouch,WCE,9.4,115.5,4,0.93,Unknown
Brad Crouch,ADE,7.0,106.7,3,0.93,Unknown
Brad Crouch,BRL,10.0,100.2,5,0.83,Unknown
Brad Crouch,COL,6.4,96.7,3,0.74,Unknown
Brad Crouch,NTH,9.0,98.8,4,0.86,Unknown
Brad Crouch,PTA,7.9,82.8,4,0.97,Unknown
Brad Crouch,WBD,5.7,88.7,3,0.7,Unknown
Matt Crouch,MEL,10.0,101.0,5,0.74,Midfielder
Matt Crouch,CAR,7.3,90.8,5,0.0,Midfielder
Matt Crouch,COL,6.9,108.7,3,0.87,Midfielder
Matt Crouch,ESS,10.0,98.8,6,0.34,Midfielder
Matt Crouch,FRE,10.0,90.0,8,0.64,Midfielder
Matt Crouch,GCS,10.0,102.3,6,0.86,Midfielder
Matt Crouch,GEE,10.0,90.2,9,0.42,Midfielder
Matt Crouch,GWS,10.0,105.2,6,0.87,Midfielder
Matt Crouch,HAW,6.5,111.3,3,0.71,Midfielder
Matt Crouch,RIC,8.7,90.7,6,0.0,Midfielder
Matt Crouch,STK,7.6,95.6,5,0.0,Midfielder
Matt Crouch,SYD,9.5,88.0,5,0.69,Midfielder
Matt Crouch,WCE,7.5,85.5,4,0.75,Midfielder
Riley Knight,MEL,1.6,101.0,1,0.0,Unknown
Riley Knight,CAR,2.3,73.0,2,0.0,Unknown
Riley Knight,ESS,2.1,66.5,2,0.0,Unknown
Riley Knight,FRE,1.3,79.0,1,0.0,Unknown
Riley Knight,GCS,2.7,84.5,2,0.0,Unknown
Riley Knight,GEE,2.0,63.5,2,0.0,Unknown
Riley Knight,RIC,1.0,49.0,1,0.0,Unknown
Riley Knight,STK,2.8,58.3,3,0.0,Unknown
Riley Knight,SYD,3.0,63.0,3,0.0,Unknown
Hugh Greenwood,MEL,1.0,55.0,1,0.0,Unknown
